QID,代號,來源,類別,年份,題型,題號,題目簡述,答案,章節,章節（短）,大主題,P,Book
13867,jdchk-ma103-1-01ax,會考數學103,會考數學,103,單選,1,根式的化簡,(D),m4ngs-1 根式,根式,數與量,64,3
13868,jdchk-ma103-1-02ax,會考數學103,會考數學,103,單選,2,從標準分解式找因數,(C),m4nyb-1 因數與倍數,因數與倍數,數與量,74,1
13869,jdchk-ma103-1-03ax,會考數學103,會考數學,103,單選,3,求梯形的上底,(C),m4ngs-1 根式,根式,數與量,68,3
13870,jdchk-ma103-1-04ax,會考數學103,會考數學,103,單選,4,取牌組出 6 的倍數的機率,(A),m4djl-1 基礎機率,基礎機率,機率統計,67,6
13871,jdchk-ma103-1-05ax,會考數學103,會考數學,103,單選,5,用乘法公式化簡,(A),m4adx-2 乘法公式,多項式與乘法公式,代數,73,3
13872,jdchk-ma103-1-06ax,會考數學103,會考數學,103,單選,6,解二元一次聯立方程組,(A),m4aei-2 二元一次聯立方程式,二元一次聯立方程式,代數,63,2
13873,jdchk-ma103-1-07ax,會考數學103,會考數學,103,單選,7,竹籃與水果的重量,(C),m4axh-1 線性函數,一次函數,代數,63,2
13874,jdchk-ma103-1-08ax,會考數學103,會考數學,103,單選,8,將紙片拼為線對稱,(A),m4sjh-2 線對稱圖形,線對稱圖形,幾何,57,4
13875,jdchk-ma103-1-09ax,會考數學103,會考數學,103,單選,9,用全等求距離,(C),m4szm-1 幾何證明與三心,幾何證明與三心,幾何,63,5
13876,jdchk-ma103-1-10ax,會考數學103,會考數學,103,單選,10,三角形外接圓、弧度,(B),m4syu-1 圓,圓,幾何,57,5
13877,jdchk-ma103-1-11ax,會考數學103,會考數學,103,單選,11,根式的估計與數線,(B),m4ngs-1 根式,根式,數與量,55,3
13878,jdchk-ma103-1-12ax,會考數學103,會考數學,103,單選,12,三角形內的小三角形面積,(B),m4sxs-1 相似形,相似形,幾何,53,5
13879,jdchk-ma103-1-13ax,會考數學103,會考數學,103,單選,13,對話紀錄與路徑,(A),m4aei-1 平面坐標系,平面坐標系,代數,60,2
13880,jdchk-ma103-1-14ax,會考數學103,會考數學,103,單選,14,水資源總量,(B),m4njk-1 指數、科學記號,整數、數線、科學記號,數與量,49,1
13881,jdchk-ma103-1-15ax,會考數學103,會考數學,103,單選,15,多項式的除法,(D),m4adx-1 多項式,多項式,代數,40,3
13882,jdchk-ma103-1-16ax,會考數學103,會考數學,103,單選,16,四個共圓心的弧,(B),m4syu-1 圓,圓,幾何,55,5
