QID,代號,來源,類別,年份,題型,題號,題目簡述,答案,章節,章節（短）,P,Ph,Pm,Pl,P90,P70,P50,P30,P10,T,D,D1,D2,D3,D4,TA,TB,TC,TD,TE,HA,HB,HC,HD,HE,LA,LB,LC,LD,LE
,sdczk-my091-1-01ax,指考數乙091,指考數乙,091,單選,1,四次方程勘根,(D),msadx 多項式,,65,94,73,28,97,88,73,48,18,,66,9,15,25,30,2,4,9,65,2,0,1,2,94,1,5,10,19,28,5
,sdczk-my091-1-02ax,指考數乙091,指考數乙,091,單選,2,所得滿意度調查,(C),msckx 數學綜合概念,,84,96,88,68,97,93,88,82,60,,28,4,5,6,22,2,2,84,6,3,1,0,96,1,1,4,4,68,12,7
,sdczk-my091-1-03ax,指考數乙091,指考數乙,091,填充,A,薪水加倍,$8$,msajt 指數與對數,,23,48,16,5,59,28,15,8,3,,43,31,13,7,5,,,,,,,,,,,,,,,
,sdczk-my091-1-04ax,指考數乙091,指考數乙,091,填充,B,給橢圓的兩頂點到焦點距離,"$(3,\sqrt{5})$",msseq 二次曲線,,69,96,82,29,97,92,82,58,15,,67,5,10,24,43,,,,,,,,,,,,,,,
,sdczk-my091-1-05ax,指考數乙091,指考數乙,091,填充,C,八角星,$\frac{\sqrt{2-\sqrt{2}}}{2}$,msssj 三角函數,,25,58,15,2,72,33,13,4,1,,56,39,20,9,3,,,,,,,,,,,,,,,
,sdczk-my091-1-06ax,指考數乙091,指考數乙,091,填充,D,停水兩天不相連,$15$,msdpc 排列組合與記數原理,,39,65,35,17,72,50,37,26,12,,48,22,13,11,14,,,,,,,,,,,,,,,
,sdczk-my091-1-07ax,指考數乙091,指考數乙,091,填充,E,四面體鐵架,$56$,msnsl 數列與遞迴,,37,62,34,15,70,46,34,24,10,,47,24,12,10,14,,,,,,,,,,,,,,,
,sdczk-my091-1-08ax,指考數乙091,指考數乙,091,填充,F,,$\sqrt{2}$,msskx 空間向量,,48,81,45,18,89,65,44,28,14,,63,24,21,16,14,,,,,,,,,,,,,,,
,sdczk-my091-1-09ax,指考數乙091,指考數乙,091,非選,1,設新廠的的期望值,甲 $3200$ 萬元、 乙 $2700$ 萬,msdsp 隨機變數,隨機變數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sdczk-my091-1-10ax,指考數乙091,指考數乙,091,非選,2,歌手的廣告費,需 $290$ 萬，報章雜誌 $140$ 萬，電台 $150$ 萬,mssjy 直線與圓,直線與圓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sdczk-my091-1-11ax,指考數乙091,指考數乙,091,非選,3,$a_n = \frac{1+\sqrt{8n-7}}{2}$,"(A) $a_2=2, a_3=\frac{1+\sqrt{17}}{2}$, $a_4 = 3$ , $a_5 = \frac{1+\sqrt{33}}{2}$, $a_6=\frac{1+\sqrt{41}}{2}$, $a_7=4$",msckx 數學綜合概念,數學綜合概,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sdczk-my092-1-01ax,指考數乙092,指考數乙,092,單選,1,,(C),msdtj 統計,,74,89,78,55,91,84,79,71,45,,34,7,5,8,26,2,7,74,6,5,1,4,89,3,2,4,11,55,11,9
,sdczk-my092-1-02ax,指考數乙092,指考數乙,092,單選,2,,(E),msdjl 機率,,60,83,63,34,88,73,63,50,26,,49,15,10,13,24,7,5,4,6,60,3,2,2,2,83,12,10,8,11,34
,sdczk-my092-1-03ax,指考數乙092,指考數乙,092,單選,3,議員席次與人口數,(D),msckx 數學概論,,44,70,45,17,78,57,43,30,12,,53,21,14,13,18,1,3,7,44,25,0,1,4,70,16,2,8,10,17,34
,sdczk-my092-1-04ax,指考數乙092,指考數乙,092,單選,4,問卷調查被抽到的機率,(C),msdjl 機率,,20,28,19,13,32,21,19,17,12,,15,11,2,2,5,1,16,20,37,4,1,15,28,35,4,2,19,13,39,5
,sdczk-my092-1-05ax,指考數乙092,指考數乙,092,多選,5,複數平面與正三角形,(A)(D),msssj 三角函數,,41,76,39,8,84,60,38,20,2,37,68,24,22,18,18,53,28,16,67,15,78,14,4,89,5,32,40,28,47,27
,sdczk-my092-1-06ax,指考數乙092,指考數乙,092,多選,6,立體的邊角關係,(B),msssj 三角函數,,18,49,11,-6,61,27,9,-1,-9,12,55,34,18,10,8,25,56,39,33,42,10,78,22,22,38,38,38,51,42,43
,sdczk-my092-1-07ax,指考數乙092,指考數乙,092,多選,7,$2^x=x^2$ 解的個數,(B)(C),msajt 指數與對數,,41,72,35,16,80,54,35,22,12,36,56,26,19,13,10,18,63,53,29,6,9,84,76,14,3,25,46,36,43,9
,sdczk-my092-1-08ax,指考數乙092,指考數乙,092,多選,8,停課標準,(D)(E),msdtj 統計,,7,28,2,-9,35,13,4,-3,-12,6,37,22,9,7,9,41,30,51,49,52,29,22,53,64,66,51,36,52,38,40
,sdczk-my092-1-09ax,指考數乙092,指考數乙,092,填充,A,平均體表面積,$81$,mscsw 數學思維,,32,57,30,9,66,42,29,16,5,,48,24,13,13,11,,,,,,,,,,,,,,,
,sdczk-my092-1-10ax,指考數乙092,指考數乙,092,填充,B,數列的遞迴關係,$\frac{3}{7}$,msnsl 數列與遞迴,,51,80,54,19,85,69,54,33,12,,61,16,15,21,21,,,,,,,,,,,,,,,
,sdczk-my092-1-11ax,指考數乙092,指考數乙,092,填充,C,給三點求拋物線焦點,"$(0,\frac{5}{4})$",msseq 二次曲線,,34,68,29,5,77,50,27,11,3,,63,27,23,16,8,,,,,,,,,,,,,,,
,sdczk-my092-1-12ax,指考數乙092,指考數乙,092,填充,D,等腰三角形中間一線,$\frac{9}{2}$,msssj 三角函數,,53,85,53,21,90,72,55,35,14,,64,18,17,20,21,,,,,,,,,,,,,,,
,sdczk-my092-1-13ax,指考數乙092,指考數乙,092,填充,E,倉庫到市場的輸送,$18000$,mssjy 直線與圓,,25,39,25,11,47,27,24,17,8,,28,20,3,7,9,,,,,,,,,,,,,,,
,sdczk-my092-1-14ax,指考數乙092,指考數乙,092,填充,F,超重,"$(24.2,0,0)$",mscswj1 公式的理解與解讀,,11,28,5,0,39,10,3,1,0,,28,29,7,2,1,,,,,,,,,,,,,,,
,sdczk-my092-1-15ax,指考數乙092,指考數乙,092,填充,G,正立方體內的四面體,"$\sqrt{12}, \frac{1}{3}$",msskx 空間向量,,38,72,34,8,81,54,33,16,5,,64,27,21,17,11,,,,,,,,,,,,,,,
,sdczk-my092-1-16ax,指考數乙092,指考數乙,092,填充,H,正立方體內的四面體,$\frac{1}{3}$,msskx 空間向量,,29,56,22,9,67,36,22,13,7,,47,31,14,9,6,,,,,,,,,,,,,,,
,sdczk-my093-1-01ax,指考數乙093,指考數乙,093,單選,1,三角函數表示四邊形邊長,(B),msssj 三角函數,,32,60,25,11,72,39,23,15,10,,49,33,16,8,5,15,32,10,13,3,16,60,2,7,1,12,11,18,19,6
,sdczk-my093-1-02ax,指考數乙093,指考數乙,093,單選,2,分點與橢圓軌跡,(A),msseq 二次曲線,,44,65,45,22,72,53,44,33,17,,43,19,9,11,16,44,6,26,8,12,65,4,18,4,5,23,7,32,14,20
,sdczk-my093-1-03ax,指考數乙093,指考數乙,093,單選,3,視覺感覺的大小,(D),msajt 指數與對數,,29,60,18,9,73,36,18,12,8,,51,37,18,6,4,14,15,11,29,4,7,6,6,60,3,18,23,15,9,4
,sdczk-my091-2-04ax,指考數乙093,指考數乙,093,單選,4,最高位數字的次數分佈,(E),msajt 指數與對數,,20,40,12,8,52,20,13,10,7,,32,32,7,3,3,8,7,11,9,20,5,4,7,5,40,10,11,15,12,8
,sdczk-my091-2-05ax,指考數乙093,指考數乙,093,多選,5,正立方體被平面截兩區各有四點頂點,(B)(D),msskx 空間向量,,40,54,39,27,59,45,39,34,22,13,27,14,6,5,12,24,85,21,35,20,14,90,17,42,11,33,79,26,33,29
,sdczk-my091-2-06ax,指考數乙093,指考數乙,093,多選,6,四個班級抽一班,(A)(C),msdjl 機率,,55,66,56,43,69,60,57,53,37,39,23,9,3,4,16,59,52,96,4,11,66,45,99,1,4,51,58,92,8,18
,sdczk-my091-2-07ax,指考數乙093,指考數乙,093,填充,A,兩根差的最小值,2,msadx 多項式,,59,86,61,30,90,76,62,46,20,,56,14,14,16,26,,,,,,,,,,,,,,,
,sdczk-my091-2-08ax,指考數乙093,指考數乙,093,填充,B,選8人，男女至少兩位,$161$,msdpc 排列組合與記數原理,,45,75,48,12,81,63,47,26,6,,63,18,16,21,20,,,,,,,,,,,,,,,
,sdczk-my091-2-09ax,指考數乙093,指考數乙,093,填充,C,同一天擔任值日生的機率,$\frac{1}{9}$,msdjl 機率,,32,58,30,8,67,42,28,16,5,,50,25,14,12,11,,,,,,,,,,,,,,,
,sdczk-my091-2-10ax,指考數乙093,指考數乙,093,填充,D,雷射光交會,$\frac{23}{8}$,msskx 空間向量,,20,53,6,1,68,24,7,2,0,,52,44,17,5,2,,,,,,,,,,,,,,,
,sdczk-my091-2-11ax,指考數乙093,指考數乙,093,填充,E,格子點的三角形面積,"$(0.5,1,-1)$",msckx 數學綜合概念,,19,46,10,1,59,22,9,3,0,,45,37,13,6,3,,,,,,,,,,,,,,,
,sdczk-my091-2-12ax,指考數乙093,指考數乙,093,非選,1,健康食品,"(A) $p = 5000 x +100y$, (B) $(x,y)= (30,800)$ 獲得最大利潤 230000",mssjy 直線與圓,直線與圓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sdczk-my091-2-13ax,指考數乙093,指考數乙,093,非選,2,聲音強度,(A) $0$ (B) $80$ (C) $90$,msajt 指數與對數,指數與對數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sdczk-my094-1-01ax,指考數乙094,指考數乙,094,單選,1,地球上兩城市距離,(E),msskx 空間向量,,27,63,16,2,75,39,16,5,2,,61,36,23,11,3,5,14,17,12,27,2,3,12,9,63,8,25,20,15,2
,sdczk-my094-1-02ax,指考數乙094,指考數乙,094,單選,2,從直方圖看標準差,(D),msdtj 統計,,52,72,54,30,77,62,56,48,20,,42,15,6,8,28,1,35,4,53,3,0,23,1,72,1,1,50,7,30,7
